outcome,arm,att,se
v2x_polyarchy,nv,-0.012151922608914161,0.021054853679474832
v2x_polyarchy,v,0.007272065441897991,0.0223856528960154
v2x_libdem,nv,-0.0014582771872353733,0.02113767378016672
v2x_libdem,v,0.010676545157402885,0.018382047091620658
v2x_partipdem,nv,-0.0022066152923550706,0.014179354503623889
v2x_partipdem,v,0.004117556539505477,0.014116637520027243
polity2,nv,-0.4842826471257247,0.7387261626115658
polity2,v,0.7916693161967728,0.6636523042889148
wdi_health_pct_gdp,nv,0.4240198801610262,0.3558033271497227
wdi_health_pct_gdp,v,-0.29779742639399986,0.24896003085115517
