year,size_tier,n,pct
2017,T1_observed,6512,60.01
2017,T4_range_high,1,0.01
2017,T5_model,4339,39.98
2018,T1_observed,11941,55.5
2018,T4_range_high,13,0.06
2018,T5_model,9560,44.44
2019,T1_observed,4841,42.41
2019,T5_model,6574,57.59
2020,T1_observed,12706,44.91
2020,T5_model,15587,55.09
2021,T1_observed,9963,34.15
2021,T4_range_high,1,0
2021,T5_model,19213,65.85
2022,T1_observed,13210,35.19
2022,T4_range_high,1,0
2022,T5_model,24326,64.81
2023,T1_observed,11750,36.4
2023,T4_range_high,1,0
2023,T5_model,20528,63.6
