year,n_countries_any_event,share_nv_avg,avg_intensity_nv
1990,147,0.5161023745717623,4786.201269866966
1991,153,0.5924151567173482,6174.328007622582
1992,155,0.5454016436419313,6406.411449730861
1993,156,0.5898485363577337,5317.767734578787
1994,156,0.5622365170442093,4657.61080243303
1995,156,0.5413920048535432,4731.296053878244
1996,156,0.5789556004299594,4483.809619770941
1997,156,0.6222923530150576,5362.462070371525
1998,156,0.5458711678820376,3607.9087953676885
1999,156,0.5380929838535765,5718.259529923704
2000,156,0.6436109867239304,3878.6556094959865
2001,156,0.5874314343064344,3184.828881245339
2002,157,0.6356550270844014,3922.3672757553113
2003,157,0.6110988268631582,3970.983108102668
2004,157,0.6260007233113931,3545.664023597086
2005,157,0.6061254770338127,2666.0513676094643
2006,159,0.5289192524990152,2534.2589360999673
2007,158,0.6109344452158593,3954.1954201793887
2008,159,0.5627769330599519,2424.54245964164
2009,159,0.5943306677907123,4558.873916223248
2010,159,0.5943743394479026,3415.850393090987
2011,160,0.47219526029455666,3676.337388429615
2012,160,0.45604200806503437,3450.273240149477
2013,160,0.49732406906370435,3357.740423585762
2014,160,0.42528726322202215,2723.5198175568507
2015,160,0.43392680018577867,2695.7707103340967
2016,159,0.46635195707997973,4748.006367029625
2017,159,0.4915590276654261,3880.070707802852
2018,159,0.56977561564313,4479.414298701311
2019,159,0.5501980387431116,4031.4880066522674
2020,159,0.25351153039832275,4081.9269031516565
